기준분기,연령대,성별구분,소득추정등급,상품구분(NICE)명_대분류,"미해제연체총잔액<미적용, 금액, 십만원>","미해제연체총잔액<미적용, 연체자수, 명>"
2010Q1,20대,남자,6,리스,0,0
2010Q1,20대,남자,6,카드,37,2
2010Q1,20대,남자,6,카드론,0,0
2010Q1,20대,남자,6,할부,52,1
2010Q1,20대,남자,6,-,0,0
2010Q1,20대,남자,7,기타,79,2
2010Q1,20대,남자,7,대출,417,7
2010Q1,20대,남자,7,카드,21,3
2010Q1,20대,남자,7,카드론,0,0
2010Q1,20대,남자,7,할부,130,1
2010Q1,20대,남자,7,-,0,0
2010Q1,20대,남자,8,기타,10,2
2010Q1,20대,남자,8,대출,1639,13
2010Q1,20대,남자,8,리스,697,1
2010Q1,20대,남자,8,보증,0,0
2010Q1,20대,남자,8,카드,37,5
2010Q1,20대,남자,8,카드론,0,0
2010Q1,20대,남자,8,할부,162,3
2010Q1,20대,남자,8,-,0,0
2010Q1,20대,남자,9,기타,616,10
2010Q1,20대,남자,9,대출,5809,23
2010Q1,20대,남자,9,리스,0,0
2010Q1,20대,남자,9,카드,415,23
2010Q1,20대,남자,9,카드론,78,6
2010Q1,20대,남자,9,할부,892,11
2010Q1,20대,남자,9,-,0,0
2010Q1,20대,남자,10,기타,937,30
2010Q1,20대,남자,10,대출,5701,40
2010Q1,20대,남자,10,리스,0,0
2010Q1,20대,남자,10,보증,49,2
2010Q1,20대,남자,10,카드,596,60
2010Q1,20대,남자,10,카드론,15,2
2010Q1,20대,남자,10,할부,1096,15
2010Q1,20대,남자,10,-,0,0
2010Q1,20대,남자,11,기타,1067,101
2010Q1,20대,남자,11,대출,16902,125
2010Q1,20대,남자,11,리스,0,0
2010Q1,20대,남자,11,보증,641,5
2010Q1,20대,남자,11,카드,1911,214
2010Q1,20대,남자,11,카드론,69,9
2010Q1,20대,남자,11,할부,4271,59
2010Q1,20대,남자,11,-,0,0
2010Q1,20대,남자,12,기타,2428,314
2010Q1,20대,남자,12,대출,33679,392
2010Q1,20대,남자,12,리스,0,0
2010Q1,20대,남자,12,보증,4285,54
2010Q1,20대,남자,12,카드,2475,384
2010Q1,20대,남자,12,카드론,50,13
2010Q1,20대,남자,12,할부,8756,134
2010Q1,20대,남자,12,-,0,0
2010Q1,20대,남자,13,기타,4922,713
2010Q1,20대,남자,13,대출,28311,687
2010Q1,20대,남자,13,리스,0,0
2010Q1,20대,남자,13,보증,6938,177
2010Q1,20대,남자,13,카드,1071,160
2010Q1,20대,남자,13,카드론,116,10
2010Q1,20대,남자,13,할부,1621,32
2010Q1,20대,남자,13,-,0,0
2010Q1,20대,남자,14,기타,589,70
2010Q1,20대,남자,14,대출,8388,124
2010Q1,20대,남자,14,리스,0,0
2010Q1,20대,남자,14,보증,141,5
2010Q1,20대,남자,14,카드,498,55
2010Q1,20대,남자,14,카드론,25,5
2010Q1,20대,남자,14,할부,674,14
2010Q1,20대,남자,14,-,0,0
2010Q1,20대,남자,15,기타,195,26
2010Q1,20대,남자,15,대출,1272,15
2010Q1,20대,남자,15,리스,0,0
2010Q1,20대,남자,15,보증,229,4
2010Q1,20대,남자,15,카드,103,15
2010Q1,20대,남자,15,카드론,0,0
2010Q1,20대,남자,15,할부,458,6
2010Q1,20대,남자,15,-,0,0
2010Q1,20대,여자,0,기타,175,20
2010Q1,20대,여자,0,대출,1356,25
2010Q1,20대,여자,0,보증,960,8
2010Q1,20대,여자,0,카드,122,7
2010Q1,20대,여자,0,카드론,0,0
2010Q1,20대,여자,0,할부,82,3
2010Q1,20대,여자,0,-,0,0
2010Q1,20대,여자,1,기타,16,2
2010Q1,20대,여자,1,대출,165,3
2010Q1,20대,여자,1,보증,54,1
2010Q1,20대,여자,1,카드,0,0
2010Q1,20대,여자,1,카드론,0,0
2010Q1,20대,여자,1,할부,0,0
2010Q1,20대,여자,1,-,0,0
2010Q1,20대,여자,2,기타,0,0
2010Q1,20대,여자,2,대출,0,0
2010Q1,20대,여자,2,카드,6,1
2010Q1,20대,여자,2,카드론,0,0
2010Q1,20대,여자,2,할부,19,1
2010Q1,20대,여자,2,-,0,0
2010Q1,20대,여자,3,기타,27,2
2010Q1,20대,여자,3,대출,228,1
2010Q1,20대,여자,3,카드,5,1
2010Q1,20대,여자,3,카드론,0,0
2010Q1,20대,여자,3,할부,3,1
2010Q1,20대,여자,3,-,0,0
2010Q1,20대,여자,4,기타,0,0
2010Q1,20대,여자,4,대출,0,0
2010Q1,20대,여자,4,카드,0,0
2010Q1,20대,여자,4,할부,0,0
2010Q1,20대,여자,4,-,0,0
2010Q1,20대,여자,5,기타,6,2
2010Q1,20대,여자,5,대출,57,1
2010Q1,20대,여자,5,리스,0,0
2010Q1,20대,여자,5,카드,1,1
2010Q1,20대,여자,5,할부,3,1
2010Q1,20대,여자,5,-,0,0
2010Q1,20대,여자,6,기타,23,1
2010Q1,20대,여자,6,대출,174,3
2010Q1,20대,여자,6,보증,69,1
2010Q1,20대,여자,6,카드,20,3
2010Q1,20대,여자,6,카드론,0,0
2010Q1,20대,여자,6,할부,0,0
2010Q1,20대,여자,6,-,0,0
2010Q1,20대,여자,7,기타,37,3
2010Q1,20대,여자,7,대출,133,4
2010Q1,20대,여자,7,카드,12,1
2010Q1,20대,여자,7,할부,20,1
2010Q1,20대,여자,7,-,0,0
2010Q1,20대,여자,8,기타,308,2
2010Q1,20대,여자,8,대출,184,2
2010Q1,20대,여자,8,카드,31,4
2010Q1,20대,여자,8,카드론,6,1
2010Q1,20대,여자,8,할부,0,0
2010Q1,20대,여자,8,-,0,0
2010Q1,20대,여자,9,기타,31,4
2010Q1,20대,여자,9,대출,2476,14
2010Q1,20대,여자,9,리스,0,0
2010Q1,20대,여자,9,보증,88,1
2010Q1,20대,여자,9,카드,147,10
2010Q1,20대,여자,9,카드론,34,1
2010Q1,20대,여자,9,할부,237,4
2010Q1,20대,여자,9,-,0,0
2010Q1,20대,여자,10,기타,88,11
2010Q1,20대,여자,10,대출,3264,11
2010Q1,20대,여자,10,리스,0,0
2010Q1,20대,여자,10,카드,89,10
2010Q1,20대,여자,10,카드론,0,0
2010Q1,20대,여자,10,할부,7,2
2010Q1,20대,여자,10,-,0,0
2010Q1,20대,여자,11,기타,125,10
2010Q1,20대,여자,11,대출,3072,20
2010Q1,20대,여자,11,리스,0,0
2010Q1,20대,여자,11,보증,35,1
2010Q1,20대,여자,11,카드,272,15
2010Q1,20대,여자,11,카드론,0,0
2010Q1,20대,여자,11,할부,278,3
2010Q1,20대,여자,11,-,0,0
2010Q1,20대,여자,12,기타,427,7
2010Q1,20대,여자,12,대출,8711,28
2010Q1,20대,여자,12,리스,0,0
2010Q1,20대,여자,12,보증,273,1
2010Q1,20대,여자,12,카드,252,31
2010Q1,20대,여자,12,카드론,38,4
2010Q1,20대,여자,12,할부,98,4
2010Q1,20대,여자,12,-,0,0
2010Q1,20대,여자,13,기타,395,25
2010Q1,20대,여자,13,대출,3313,34
2010Q1,20대,여자,13,리스,0,0
2010Q1,20대,여자,13,보증,737,3
2010Q1,20대,여자,13,카드,469,44
2010Q1,20대,여자,13,카드론,66,3
2010Q1,20대,여자,13,할부,344,5
2010Q1,20대,여자,13,-,0,0
2010Q1,20대,여자,14,기타,3390,374
2010Q1,20대,여자,14,대출,54444,559
2010Q1,20대,여자,14,리스,0,0
2010Q1,20대,여자,14,보증,8112,71
2010Q1,20대,여자,14,카드,4995,667
2010Q1,20대,여자,14,카드론,275,25
2010Q1,20대,여자,14,할부,5099,96
2010Q1,20대,여자,14,-,0,0
2010Q1,20대,여자,15,기타,4114,565
2010Q1,20대,여자,15,대출,32682,725
2010Q1,20대,여자,15,리스,0,0
2010Q1,20대,여자,15,보증,6148,129
2010Q1,20대,여자,15,카드,1159,156
2010Q1,20대,여자,15,카드론,82,8
2010Q1,20대,여자,15,할부,744,12
2010Q1,20대,여자,15,-,0,0
2010Q1,30대,남자,0,기타,1916,102
2010Q1,30대,남자,0,대출,13649,120
2010Q1,30대,남자,0,보증,8962,55
2010Q1,30대,남자,0,카드,211,14
2010Q1,30대,남자,0,카드론,193,3
2010Q1,30대,남자,0,할부,815,14
2010Q1,30대,남자,0,-,0,0
2010Q1,30대,남자,1,기타,399,18
2010Q1,30대,남자,1,대출,12095,17
2010Q1,30대,남자,1,리스,0,0
2010Q1,30대,남자,1,보증,179,1
2010Q1,30대,남자,1,카드,144,6
2010Q1,30대,남자,1,카드론,0,0
2010Q1,30대,남자,1,할부,390,4
2010Q1,30대,남자,1,-,0,0
2010Q1,30대,남자,2,기타,231,10
2010Q1,30대,남자,2,대출,2030,8
2010Q1,30대,남자,2,리스,0,0
2010Q1,30대,남자,2,카드,76,7
2010Q1,30대,남자,2,카드론,0,0
2010Q1,30대,남자,2,할부,777,5
2010Q1,30대,남자,2,-,0,0
2010Q1,30대,남자,3,기타,232,8
2010Q1,30대,남자,3,대출,11917,30
2010Q1,30대,남자,3,리스,307,2
2010Q1,30대,남자,3,카드,182,14
2010Q1,30대,남자,3,카드론,6,1
2010Q1,30대,남자,3,할부,934,10
2010Q1,30대,남자,3,-,0,0
2010Q1,30대,남자,4,기타,27,3
2010Q1,30대,남자,4,대출,7254,10
2010Q1,30대,남자,4,리스,262,1
2010Q1,30대,남자,4,보증,337,1
2010Q1,30대,남자,4,카드,152,7
2010Q1,30대,남자,4,카드론,0,0
2010Q1,30대,남자,4,할부,152,3
2010Q1,30대,남자,4,-,0,0
2010Q1,30대,남자,5,기타,1203,20
2010Q1,30대,남자,5,대출,26966,50
2010Q1,30대,남자,5,리스,0,0
2010Q1,30대,남자,5,카드,876,27
2010Q1,30대,남자,5,카드론,9,4
2010Q1,30대,남자,5,할부,233,5
2010Q1,30대,남자,5,-,0,0
2010Q1,30대,남자,6,기타,1091,30
2010Q1,30대,남자,6,대출,20146,47
2010Q1,30대,남자,6,리스,0,0
2010Q1,30대,남자,6,보증,94,1
2010Q1,30대,남자,6,카드,1010,34
2010Q1,30대,남자,6,카드론,35,3
2010Q1,30대,남자,6,할부,408,10
2010Q1,30대,남자,6,-,0,0
2010Q1,30대,남자,7,기타,1070,28
2010Q1,30대,남자,7,대출,52584,98
2010Q1,30대,남자,7,리스,0,0
2010Q1,30대,남자,7,보증,142,3
2010Q1,30대,남자,7,카드,3571,68
2010Q1,30대,남자,7,카드론,232,8
2010Q1,30대,남자,7,할부,2126,24
2010Q1,30대,남자,7,-,0,0
2010Q1,30대,남자,8,기타,3653,88
2010Q1,30대,남자,8,대출,48775,189
2010Q1,30대,남자,8,리스,8182,1
2010Q1,30대,남자,8,보증,3201,21
2010Q1,30대,남자,8,카드,2845,133
2010Q1,30대,남자,8,카드론,163,10
2010Q1,30대,남자,8,할부,3359,37
2010Q1,30대,남자,8,-,0,0
2010Q1,30대,남자,9,기타,6986,183
2010Q1,30대,남자,9,대출,109002,404
2010Q1,30대,남자,9,리스,0,0
2010Q1,30대,남자,9,보증,9775,64
2010Q1,30대,남자,9,카드,5742,296
2010Q1,30대,남자,9,카드론,380,29
2010Q1,30대,남자,9,할부,8718,99
2010Q1,30대,남자,9,-,0,0
2010Q1,30대,남자,10,기타,4107,222
2010Q1,30대,남자,10,대출,162592,368
2010Q1,30대,남자,10,리스,833,3
2010Q1,30대,남자,10,보증,9640,61
2010Q1,30대,남자,10,카드,3940,303
2010Q1,30대,남자,10,카드론,594,26
2010Q1,30대,남자,10,할부,5516,87
2010Q1,30대,남자,10,-,0,0
2010Q1,30대,남자,11,기타,4188,254
2010Q1,30대,남자,11,대출,47907,260
2010Q1,30대,남자,11,리스,290,1
2010Q1,30대,남자,11,보증,8580,63
2010Q1,30대,남자,11,카드,2838,220
2010Q1,30대,남자,11,카드론,116,16
2010Q1,30대,남자,11,할부,5660,80
2010Q1,30대,남자,11,-,0,0
2010Q1,30대,남자,12,기타,3827,384
2010Q1,30대,남자,12,대출,20216,173
2010Q1,30대,남자,12,리스,0,0
2010Q1,30대,남자,12,보증,5123,46
2010Q1,30대,남자,12,카드,1577,145
2010Q1,30대,남자,12,카드론,92,8
2010Q1,30대,남자,12,할부,3642,56
2010Q1,30대,남자,12,-,0,0
2010Q1,30대,남자,13,기타,1144,120
2010Q1,30대,남자,13,대출,8829,77
2010Q1,30대,남자,13,리스,0,0
2010Q1,30대,남자,13,보증,956,9
2010Q1,30대,남자,13,카드,325,44
2010Q1,30대,남자,13,카드론,15,2
2010Q1,30대,남자,13,할부,1222,16
2010Q1,30대,남자,13,-,0,0
2010Q1,30대,남자,14,기타,288,27
2010Q1,30대,남자,14,대출,5186,38
2010Q1,30대,남자,14,카드,474,33
2010Q1,30대,남자,14,카드론,33,3
2010Q1,30대,남자,14,할부,485,8
2010Q1,30대,남자,14,-,0,0
2010Q1,30대,남자,15,기타,75,9
2010Q1,30대,남자,15,대출,626,11
2010Q1,30대,남자,15,리스,0,0
2010Q1,30대,남자,15,보증,107,1
2010Q1,30대,남자,15,카드,45,7
2010Q1,30대,남자,15,카드론,5,1
2010Q1,30대,남자,15,할부,77,3
2010Q1,30대,남자,15,-,0,0
2010Q1,30대,여자,0,기타,1117,84
2010Q1,30대,여자,0,대출,8840,83
2010Q1,30대,여자,0,리스,0,0
2010Q1,30대,여자,0,보증,4947,33
2010Q1,30대,여자,0,카드,643,25
2010Q1,30대,여자,0,카드론,119,6
2010Q1,30대,여자,0,할부,357,8
2010Q1,30대,여자,0,-,0,0
2010Q1,30대,여자,1,기타,603,2
2010Q1,30대,여자,1,대출,2596,16
2010Q1,30대,여자,1,리스,9,1
2010Q1,30대,여자,1,카드,133,5
2010Q1,30대,여자,1,카드론,0,0
2010Q1,30대,여자,1,할부,478,5
2010Q1,30대,여자,1,-,0,0
2010Q1,30대,여자,2,기타,2,1
2010Q1,30대,여자,2,대출,3534,9
2010Q1,30대,여자,2,리스,0,0
2010Q1,30대,여자,2,카드,14,3
2010Q1,30대,여자,2,카드론,0,0
2010Q1,30대,여자,2,할부,68,2
2010Q1,30대,여자,2,-,0,0
2010Q1,30대,여자,3,기타,17,5
2010Q1,30대,여자,3,대출,1994,16
2010Q1,30대,여자,3,카드,243,6
2010Q1,30대,여자,3,카드론,11,2
2010Q1,30대,여자,3,할부,0,0
2010Q1,30대,여자,3,-,0,0
2010Q1,30대,여자,4,기타,97,2
2010Q1,30대,여자,4,대출,3863,6
2010Q1,30대,여자,4,리스,0,0
2010Q1,30대,여자,4,카드,71,3
2010Q1,30대,여자,4,카드론,0,0
2010Q1,30대,여자,4,할부,0,0
2010Q1,30대,여자,4,-,0,0
2010Q1,30대,여자,5,기타,351,9
2010Q1,30대,여자,5,대출,3713,19
2010Q1,30대,여자,5,리스,11,1
2010Q1,30대,여자,5,카드,415,10
2010Q1,30대,여자,5,카드론,0,0
2010Q1,30대,여자,5,할부,102,3
2010Q1,30대,여자,5,-,0,0
2010Q1,30대,여자,6,기타,117,9
2010Q1,30대,여자,6,대출,7080,14
2010Q1,30대,여자,6,리스,0,0
2010Q1,30대,여자,6,카드,179,12
2010Q1,30대,여자,6,카드론,1,1
2010Q1,30대,여자,6,할부,121,3
2010Q1,30대,여자,6,-,0,0
2010Q1,30대,여자,7,기타,318,9
2010Q1,30대,여자,7,대출,8186,19
2010Q1,30대,여자,7,리스,0,0
2010Q1,30대,여자,7,보증,49,1
2010Q1,30대,여자,7,카드,190,12
2010Q1,30대,여자,7,카드론,54,2
2010Q1,30대,여자,7,할부,656,7
2010Q1,30대,여자,7,-,0,0
2010Q1,30대,여자,8,기타,357,12
2010Q1,30대,여자,8,대출,24337,34
2010Q1,30대,여자,8,리스,0,0
2010Q1,30대,여자,8,카드,567,32
2010Q1,30대,여자,8,카드론,119,4
2010Q1,30대,여자,8,할부,163,5
2010Q1,30대,여자,8,-,0,0
2010Q1,30대,여자,9,기타,1603,34
2010Q1,30대,여자,9,대출,37257,96
2010Q1,30대,여자,9,리스,28,1
2010Q1,30대,여자,9,보증,533,5
2010Q1,30대,여자,9,카드,2782,121
2010Q1,30대,여자,9,카드론,212,14
2010Q1,30대,여자,9,할부,1521,19
2010Q1,30대,여자,9,-,0,0
2010Q1,30대,여자,10,기타,470,35
2010Q1,30대,여자,10,대출,23512,100
2010Q1,30대,여자,10,리스,0,0
2010Q1,30대,여자,10,보증,837,8
2010Q1,30대,여자,10,카드,1230,120
2010Q1,30대,여자,10,카드론,156,10
2010Q1,30대,여자,10,할부,971,12
2010Q1,30대,여자,10,-,0,0
2010Q1,30대,여자,11,기타,1878,74
2010Q1,30대,여자,11,대출,58936,159
2010Q1,30대,여자,11,리스,238,1
2010Q1,30대,여자,11,보증,4535,26
2010Q1,30대,여자,11,카드,2912,202
2010Q1,30대,여자,11,카드론,260,26
2010Q1,30대,여자,11,할부,4422,28
2010Q1,30대,여자,11,-,0,0
2010Q1,30대,여자,12,기타,1321,99
2010Q1,30대,여자,12,대출,33580,152
2010Q1,30대,여자,12,리스,0,0
2010Q1,30대,여자,12,보증,2365,18
2010Q1,30대,여자,12,카드,2243,178
2010Q1,30대,여자,12,카드론,284,21
2010Q1,30대,여자,12,할부,1190,21
2010Q1,30대,여자,12,-,0,0
2010Q1,30대,여자,13,기타,2480,121
2010Q1,30대,여자,13,대출,27935,137
2010Q1,30대,여자,13,리스,0,0
2010Q1,30대,여자,13,보증,4293,30
2010Q1,30대,여자,13,카드,2058,174
2010Q1,30대,여자,13,카드론,75,14
2010Q1,30대,여자,13,할부,1923,27
2010Q1,30대,여자,13,-,0,0
2010Q1,30대,여자,14,기타,3416,313
2010Q1,30대,여자,14,대출,36597,226
2010Q1,30대,여자,14,리스,481,2
2010Q1,30대,여자,14,보증,7409,50
2010Q1,30대,여자,14,카드,3075,302
2010Q1,30대,여자,14,카드론,183,18
2010Q1,30대,여자,14,할부,3586,58
2010Q1,30대,여자,14,-,0,0
2010Q1,30대,여자,15,기타,348,60
2010Q1,30대,여자,15,대출,3691,42
2010Q1,30대,여자,15,보증,635,4
2010Q1,30대,여자,15,카드,290,21
2010Q1,30대,여자,15,카드론,11,2
2010Q1,30대,여자,15,할부,504,7
2010Q1,30대,여자,15,-,0,0
2010Q1,40대,남자,0,기타,3075,120
2010Q1,40대,남자,0,대출,32285,173
2010Q1,40대,남자,0,리스,0,0
2010Q1,40대,남자,0,보증,12511,100
2010Q1,40대,남자,0,카드,536,20
2010Q1,40대,남자,0,카드론,346,2
2010Q1,40대,남자,0,할부,794,20
2010Q1,40대,남자,0,-,0,0
2010Q1,40대,남자,1,기타,1511,24
2010Q1,40대,남자,1,대출,75806,64
2010Q1,40대,남자,1,리스,1359,3
2010Q1,40대,남자,1,보증,398,2
2010Q1,40대,남자,1,카드,1187,31
2010Q1,40대,남자,1,카드론,231,4
2010Q1,40대,남자,1,할부,2063,14
2010Q1,40대,남자,1,-,0,0
2010Q1,40대,남자,2,기타,577,9
2010Q1,40대,남자,2,대출,44203,40
2010Q1,40대,남자,2,리스,344,1
2010Q1,40대,남자,2,카드,921,14
2010Q1,40대,남자,2,카드론,54,1
2010Q1,40대,남자,2,할부,231,3
2010Q1,40대,남자,2,-,0,0
2010Q1,40대,남자,3,기타,1661,27
2010Q1,40대,남자,3,대출,54534,95
2010Q1,40대,남자,3,리스,0,0
2010Q1,40대,남자,3,보증,66,1
2010Q1,40대,남자,3,카드,1343,39
2010Q1,40대,남자,3,카드론,431,12
2010Q1,40대,남자,3,할부,499,10
2010Q1,40대,남자,3,-,0,0
2010Q1,40대,남자,4,기타,699,19
2010Q1,40대,남자,4,대출,60525,68
2010Q1,40대,남자,4,리스,0,0
2010Q1,40대,남자,4,보증,469,1
2010Q1,40대,남자,4,카드,2174,46
2010Q1,40대,남자,4,카드론,158,7
2010Q1,40대,남자,4,할부,1492,9
2010Q1,40대,남자,4,-,0,0
2010Q1,40대,남자,5,기타,2721,34
2010Q1,40대,남자,5,대출,63812,106
2010Q1,40대,남자,5,리스,0,0
2010Q1,40대,남자,5,보증,261,2
2010Q1,40대,남자,5,카드,3958,77
2010Q1,40대,남자,5,카드론,197,12
2010Q1,40대,남자,5,할부,1239,13
2010Q1,40대,남자,5,-,0,0
2010Q1,40대,남자,6,기타,8397,73
2010Q1,40대,남자,6,대출,152138,171
2010Q1,40대,남자,6,리스,0,0
2010Q1,40대,남자,6,보증,2533,10
2010Q1,40대,남자,6,카드,3071,118
2010Q1,40대,남자,6,카드론,1018,23
2010Q1,40대,남자,6,할부,2663,27
2010Q1,40대,남자,6,-,0,0
2010Q1,40대,남자,7,기타,12744,177
2010Q1,40대,남자,7,대출,261705,443
2010Q1,40대,남자,7,리스,0,0
2010Q1,40대,남자,7,보증,4676,34
2010Q1,40대,남자,7,카드,4829,203
2010Q1,40대,남자,7,카드론,619,22
2010Q1,40대,남자,7,할부,6366,67
2010Q1,40대,남자,7,-,0,0
2010Q1,40대,남자,8,기타,13590,388
2010Q1,40대,남자,8,대출,306109,826
2010Q1,40대,남자,8,리스,207,1
2010Q1,40대,남자,8,보증,16573,110
2010Q1,40대,남자,8,카드,7137,337
2010Q1,40대,남자,8,카드론,632,47
2010Q1,40대,남자,8,할부,9809,136
2010Q1,40대,남자,8,-,0,0
2010Q1,40대,남자,9,기타,6083,327
2010Q1,40대,남자,9,대출,159245,619
2010Q1,40대,남자,9,리스,185,1
2010Q1,40대,남자,9,보증,18784,136
2010Q1,40대,남자,9,카드,4167,267
2010Q1,40대,남자,9,카드론,494,24
2010Q1,40대,남자,9,할부,13608,139
2010Q1,40대,남자,9,-,0,0
2010Q1,40대,남자,10,기타,4338,237
2010Q1,40대,남자,10,대출,50987,166
2010Q1,40대,남자,10,리스,0,0
2010Q1,40대,남자,10,보증,9073,80
2010Q1,40대,남자,10,카드,697,40
2010Q1,40대,남자,10,카드론,150,6
2010Q1,40대,남자,10,할부,730,15
2010Q1,40대,남자,10,-,0,0
2010Q1,40대,남자,11,기타,2735,322
2010Q1,40대,남자,11,대출,8871,44
2010Q1,40대,남자,11,보증,2519,20
2010Q1,40대,남자,11,카드,531,37
2010Q1,40대,남자,11,카드론,43,3
2010Q1,40대,남자,11,할부,676,6
2010Q1,40대,남자,11,-,0,0
2010Q1,40대,남자,12,기타,381,5
2010Q1,40대,남자,12,대출,2262,17
2010Q1,40대,남자,12,리스,0,0
2010Q1,40대,남자,12,카드,36,5
2010Q1,40대,남자,12,카드론,0,0
2010Q1,40대,남자,12,할부,1954,3
2010Q1,40대,남자,12,-,0,0
2010Q1,40대,남자,13,기타,160,9
2010Q1,40대,남자,13,대출,3941,25
2010Q1,40대,남자,13,카드,135,10
2010Q1,40대,남자,13,카드론,0,0
2010Q1,40대,남자,13,할부,322,4
2010Q1,40대,남자,13,-,0,0
2010Q1,40대,남자,14,기타,147,16
2010Q1,40대,남자,14,대출,1599,19
2010Q1,40대,남자,14,리스,0,0
2010Q1,40대,남자,14,카드,111,8
2010Q1,40대,남자,14,카드론,0,0
2010Q1,40대,남자,14,할부,242,3
2010Q1,40대,남자,14,-,0,0
2010Q1,40대,남자,15,기타,193,7
2010Q1,40대,남자,15,대출,4859,16
2010Q1,40대,남자,15,보증,302,1
2010Q1,40대,남자,15,카드,700,10
2010Q1,40대,남자,15,카드론,6,1
2010Q1,40대,남자,15,할부,2687,8
2010Q1,40대,남자,15,-,0,0
2010Q1,40대,여자,0,기타,1032,94
2010Q1,40대,여자,0,대출,9754,97
2010Q1,40대,여자,0,리스,0,0
2010Q1,40대,여자,0,보증,4345,41
2010Q1,40대,여자,0,카드,399,13
2010Q1,40대,여자,0,카드론,424,6
2010Q1,40대,여자,0,할부,153,6
2010Q1,40대,여자,0,-,0,0
2010Q1,40대,여자,1,기타,302,16
2010Q1,40대,여자,1,대출,36161,37
2010Q1,40대,여자,1,리스,0,0
2010Q1,40대,여자,1,카드,848,20
2010Q1,40대,여자,1,카드론,47,4
2010Q1,40대,여자,1,할부,577,6
2010Q1,40대,여자,1,-,0,0
2010Q1,40대,여자,2,기타,102,5
2010Q1,40대,여자,2,대출,12833,19
2010Q1,40대,여자,2,리스,0,0
2010Q1,40대,여자,2,카드,463,10
2010Q1,40대,여자,2,카드론,12,1
2010Q1,40대,여자,2,할부,453,5
2010Q1,40대,여자,2,-,0,0
2010Q1,40대,여자,3,기타,219,8
2010Q1,40대,여자,3,대출,15142,21
2010Q1,40대,여자,3,리스,0,0
2010Q1,40대,여자,3,보증,321,2
2010Q1,40대,여자,3,카드,810,15
2010Q1,40대,여자,3,카드론,5,2
2010Q1,40대,여자,3,할부,372,6
2010Q1,40대,여자,3,-,0,0
2010Q1,40대,여자,4,기타,192,5
2010Q1,40대,여자,4,대출,16641,19
2010Q1,40대,여자,4,리스,0,0
2010Q1,40대,여자,4,카드,471,12
2010Q1,40대,여자,4,카드론,6,2
2010Q1,40대,여자,4,할부,491,5
2010Q1,40대,여자,4,-,0,0
2010Q1,40대,여자,5,기타,404,8
2010Q1,40대,여자,5,대출,16901,36
2010Q1,40대,여자,5,리스,0,0
2010Q1,40대,여자,5,카드,1028,25
2010Q1,40대,여자,5,카드론,96,7
2010Q1,40대,여자,5,할부,757,9
2010Q1,40대,여자,5,-,0,0
2010Q1,40대,여자,6,기타,89,6
2010Q1,40대,여자,6,대출,44286,36
2010Q1,40대,여자,6,리스,0,0
2010Q1,40대,여자,6,카드,266,20
2010Q1,40대,여자,6,카드론,12,1
2010Q1,40대,여자,6,할부,353,2
2010Q1,40대,여자,6,-,0,0
2010Q1,40대,여자,7,기타,2753,28
2010Q1,40대,여자,7,대출,52065,84
2010Q1,40대,여자,7,리스,0,0
2010Q1,40대,여자,7,보증,164,1
2010Q1,40대,여자,7,카드,1728,58
2010Q1,40대,여자,7,카드론,118,10
2010Q1,40대,여자,7,할부,453,12
2010Q1,40대,여자,7,-,0,0
