시점,성별,연령계층별,데이터
2012 4/4,계,15 - 19세,8.8
2012 4/4,계,20 - 29세,6.9
2012 4/4,계,30 - 39세,2.7
2012 4/4,계,40 - 49세,1.8
2012 4/4,계,50 - 59세,1.8
2012 4/4,계,60세이상,1.6
2012 4/4,남자,계,3.1
2012 4/4,남자,15 - 19세,11.5
2012 4/4,남자,20 - 29세,8.2
2012 4/4,남자,30 - 39세,3.0
2012 4/4,남자,40 - 49세,1.8
2012 4/4,남자,50 - 59세,2.2
2012 4/4,남자,60세이상,2.1
2012 4/4,여자,계,2.5
2012 4/4,여자,15 - 19세,6.8
2012 4/4,여자,20 - 29세,5.7
2012 4/4,여자,30 - 39세,2.3
2012 4/4,여자,40 - 49세,1.9
2012 4/4,여자,50 - 59세,1.4
2012 4/4,여자,60세이상,0.9
2013 1/4,계,계,3.6
2013 1/4,계,15 - 19세,9.7
2013 1/4,계,20 - 29세,8.3
2013 1/4,계,30 - 39세,3.3
2013 1/4,계,40 - 49세,2.1
2013 1/4,계,50 - 59세,2.3
2013 1/4,계,60세이상,3.4
2013 1/4,남자,계,3.8
2013 1/4,남자,15 - 19세,10.6
2013 1/4,남자,20 - 29세,9.2
2013 1/4,남자,30 - 39세,3.6
2013 1/4,남자,40 - 49세,2.2
2013 1/4,남자,50 - 59세,2.8
2013 1/4,남자,60세이상,3.5
2013 1/4,여자,계,3.3
2013 1/4,여자,15 - 19세,9.0
2013 1/4,여자,20 - 29세,7.4
2013 1/4,여자,30 - 39세,2.9
2013 1/4,여자,40 - 49세,2.1
2013 1/4,여자,50 - 59세,1.6
2013 1/4,여자,60세이상,3.1
2013 2/4,계,계,3.1
2013 2/4,계,15 - 19세,11.2
2013 2/4,계,20 - 29세,7.7
2013 2/4,계,30 - 39세,3.0
2013 2/4,계,40 - 49세,2.1
2013 2/4,계,50 - 59세,1.8
2013 2/4,계,60세이상,1.6
2013 2/4,남자,계,3.2
2013 2/4,남자,15 - 19세,11.8
2013 2/4,남자,20 - 29세,8.6
2013 2/4,남자,30 - 39세,3.2
2013 2/4,남자,40 - 49세,2.1
2013 2/4,남자,50 - 59세,2.0
2013 2/4,남자,60세이상,2.2
2013 2/4,여자,계,2.9
2013 2/4,여자,15 - 19세,10.7
2013 2/4,여자,20 - 29세,6.8
2013 2/4,여자,30 - 39세,2.7
2013 2/4,여자,40 - 49세,2.2
2013 2/4,여자,50 - 59세,1.6
2013 2/4,여자,60세이상,0.8
2013 3/4,계,계,2.9
2013 3/4,계,15 - 19세,10.3
2013 3/4,계,20 - 29세,7.7
2013 3/4,계,30 - 39세,2.9
2013 3/4,계,40 - 49세,1.9
2013 3/4,계,50 - 59세,1.8
2013 3/4,계,60세이상,1.2
2013 3/4,남자,계,3.2
2013 3/4,남자,15 - 19세,11.6
2013 3/4,남자,20 - 29세,9.0
2013 3/4,남자,30 - 39세,3.3
2013 3/4,남자,40 - 49세,1.9
2013 3/4,남자,50 - 59세,2.1
2013 3/4,남자,60세이상,1.8
2013 3/4,여자,계,2.6
2013 3/4,여자,15 - 19세,9.2
2013 3/4,여자,20 - 29세,6.4
2013 3/4,여자,30 - 39세,2.2
2013 3/4,여자,40 - 49세,1.9
2013 3/4,여자,50 - 59세,1.4
2013 3/4,여자,60세이상,0.5
2013 4/4,계,계,2.8
2013 4/4,계,15 - 19세,10.2
2013 4/4,계,20 - 29세,7.8
2013 4/4,계,30 - 39세,2.6
2013 4/4,계,40 - 49세,1.7
2013 4/4,계,50 - 59세,1.5
2013 4/4,계,60세이상,1.4
2013 4/4,남자,계,2.9
2013 4/4,남자,15 - 19세,11.0
2013 4/4,남자,20 - 29세,9.0
2013 4/4,남자,30 - 39세,2.8
2013 4/4,남자,40 - 49세,1.6
2013 4/4,남자,50 - 59세,1.7
2013 4/4,남자,60세이상,1.9
2013 4/4,여자,계,2.6
2013 4/4,여자,15 - 19세,9.6
2013 4/4,여자,20 - 29세,6.6
2013 4/4,여자,30 - 39세,2.3
2013 4/4,여자,40 - 49세,1.8
2013 4/4,여자,50 - 59세,1.2
2013 4/4,여자,60세이상,0.7
2014 1/4,계,계,3.9
2014 1/4,계,15 - 19세,11.9
2014 1/4,계,20 - 29세,9.6
2014 1/4,계,30 - 39세,3.2
2014 1/4,계,40 - 49세,2.3
2014 1/4,계,50 - 59세,2.2
2014 1/4,계,60세이상,4.4
2014 1/4,남자,계,3.9
2014 1/4,남자,15 - 19세,13.6
2014 1/4,남자,20 - 29세,11.2
2014 1/4,남자,30 - 39세,2.9
2014 1/4,남자,40 - 49세,2.3
2014 1/4,남자,50 - 59세,2.3
2014 1/4,남자,60세이상,4.4
2014 1/4,여자,계,4.0
2014 1/4,여자,15 - 19세,10.4
2014 1/4,여자,20 - 29세,8.2
2014 1/4,여자,30 - 39세,3.7
2014 1/4,여자,40 - 49세,2.3
2014 1/4,여자,50 - 59세,2.1
2014 1/4,여자,60세이상,4.3
2014 2/4,계,계,3.6
2014 2/4,계,15 - 19세,7.3
2014 2/4,계,20 - 29세,9.5
2014 2/4,계,30 - 39세,3.4
2014 2/4,계,40 - 49세,2.4
2014 2/4,계,50 - 59세,2.3
2014 2/4,계,60세이상,1.9
2014 2/4,남자,계,3.6
2014 2/4,남자,15 - 19세,7.8
2014 2/4,남자,20 - 29세,11.2
2014 2/4,남자,30 - 39세,3.0
2014 2/4,남자,40 - 49세,2.1
2014 2/4,남자,50 - 59세,2.2
2014 2/4,남자,60세이상,2.6
2014 2/4,여자,계,3.7
2014 2/4,여자,15 - 19세,6.9
2014 2/4,여자,20 - 29세,8.0
2014 2/4,여자,30 - 39세,4.1
2014 2/4,여자,40 - 49세,2.9
2014 2/4,여자,50 - 59세,2.4
2014 2/4,여자,60세이상,0.9
2014 3/4,계,계,3.3
2014 3/4,계,15 - 19세,8.3
2014 3/4,계,20 - 29세,8.6
2014 3/4,계,30 - 39세,3.1
2014 3/4,계,40 - 49세,2.1
2014 3/4,계,50 - 59세,2.1
2014 3/4,계,60세이상,1.6
2014 3/4,남자,계,3.4
2014 3/4,남자,15 - 19세,10.1
2014 3/4,남자,20 - 29세,10.3
2014 3/4,남자,30 - 39세,2.9
2014 3/4,남자,40 - 49세,2.1
2014 3/4,남자,50 - 59세,2.2
2014 3/4,남자,60세이상,2.1
2014 3/4,여자,계,3.1
2014 3/4,여자,15 - 19세,6.8
2014 3/4,여자,20 - 29세,7.0
2014 3/4,여자,30 - 39세,3.4
2014 3/4,여자,40 - 49세,2.1
2014 3/4,여자,50 - 59세,2.1
2014 3/4,여자,60세이상,0.8
2014 4/4,계,계,3.2
2014 4/4,계,15 - 19세,9.2
2014 4/4,계,20 - 29세,8.3
2014 4/4,계,30 - 39세,2.8
2014 4/4,계,40 - 49세,2.1
2014 4/4,계,50 - 59세,2.2
2014 4/4,계,60세이상,1.6
2014 4/4,남자,계,3.3
2014 4/4,남자,15 - 19세,8.5
2014 4/4,남자,20 - 29세,9.4
2014 4/4,남자,30 - 39세,2.8
2014 4/4,남자,40 - 49세,2.1
2014 4/4,남자,50 - 59세,2.4
2014 4/4,남자,60세이상,2.2
2014 4/4,여자,계,3.1
2014 4/4,여자,15 - 19세,9.7
2014 4/4,여자,20 - 29세,7.1
2014 4/4,여자,30 - 39세,2.7
2014 4/4,여자,40 - 49세,2.2
2014 4/4,여자,50 - 59세,2.0
2014 4/4,여자,60세이상,0.9
2015 1/4,계,계,4.1
2015 1/4,계,15 - 19세,11.1
2015 1/4,계,20 - 29세,10.2
2015 1/4,계,30 - 39세,3.1
2015 1/4,계,40 - 49세,2.4
2015 1/4,계,50 - 59세,2.6
2015 1/4,계,60세이상,4.1
2015 1/4,남자,계,4.0
2015 1/4,남자,15 - 19세,10.8
2015 1/4,남자,20 - 29세,11.8
2015 1/4,남자,30 - 39세,3.0
2015 1/4,남자,40 - 49세,2.2
2015 1/4,남자,50 - 59세,2.6
2015 1/4,남자,60세이상,4.2
2015 1/4,여자,계,4.2
2015 1/4,여자,15 - 19세,11.3
2015 1/4,여자,20 - 29세,8.7
2015 1/4,여자,30 - 39세,3.4
2015 1/4,여자,40 - 49세,2.8
2015 1/4,여자,50 - 59세,2.6
2015 1/4,여자,60세이상,3.9
2015 2/4,계,계,3.8
2015 2/4,계,15 - 19세,10.4
2015 2/4,계,20 - 29세,9.8
2015 2/4,계,30 - 39세,3.3
2015 2/4,계,40 - 49세,2.5
2015 2/4,계,50 - 59세,2.6
2015 2/4,계,60세이상,2.2
2015 2/4,남자,계,3.8
2015 2/4,남자,15 - 19세,9.3
2015 2/4,남자,20 - 29세,11.3
2015 2/4,남자,30 - 39세,3.2
2015 2/4,남자,40 - 49세,2.0
2015 2/4,남자,50 - 59세,2.6
2015 2/4,남자,60세이상,2.9
2015 2/4,여자,계,3.8
2015 2/4,여자,15 - 19세,11.3
2015 2/4,여자,20 - 29세,8.4
2015 2/4,여자,30 - 39세,3.5
2015 2/4,여자,40 - 49세,3.0
2015 2/4,여자,50 - 59세,2.6
2015 2/4,여자,60세이상,1.3
2015 3/4,계,계,3.4
2015 3/4,계,15 - 19세,11.6
2015 3/4,계,20 - 29세,8.2
2015 3/4,계,30 - 39세,3.0
2015 3/4,계,40 - 49세,2.3
2015 3/4,계,50 - 59세,2.4
2015 3/4,계,60세이상,2.0
2015 3/4,남자,계,3.6
2015 3/4,남자,15 - 19세,11.9
2015 3/4,남자,20 - 29세,9.6
2015 3/4,남자,30 - 39세,3.1
2015 3/4,남자,40 - 49세,2.0
2015 3/4,남자,50 - 59세,2.8
2015 3/4,남자,60세이상,2.8
2015 3/4,여자,계,3.2
2015 3/4,여자,15 - 19세,11.4
2015 3/4,여자,20 - 29세,6.8
2015 3/4,여자,30 - 39세,2.9
2015 3/4,여자,40 - 49세,2.8
2015 3/4,여자,50 - 59세,1.8
2015 3/4,여자,60세이상,1.0
2015 4/4,계,계,3.1
2015 4/4,계,15 - 19세,8.9
2015 4/4,계,20 - 29세,7.9
2015 4/4,계,30 - 39세,2.8
2015 4/4,계,40 - 49세,2.0
2015 4/4,계,50 - 59세,1.9
2015 4/4,계,60세이상,2.1
2015 4/4,남자,계,3.2
2015 4/4,남자,15 - 19세,9.4
2015 4/4,남자,20 - 29세,9.4
2015 4/4,남자,30 - 39세,2.9
2015 4/4,남자,40 - 49세,1.8
2015 4/4,남자,50 - 59세,2.1
2015 4/4,남자,60세이상,2.5
2015 4/4,여자,계,3.0
2015 4/4,여자,15 - 19세,8.5
2015 4/4,여자,20 - 29세,6.5
2015 4/4,여자,30 - 39세,2.8
2015 4/4,여자,40 - 49세,2.4
2015 4/4,여자,50 - 59세,1.7
2015 4/4,여자,60세이상,1.4
2016 1/4,계,계,4.3
2016 1/4,계,15 - 19세,12.6
2016 1/4,계,20 - 29세,11.2
2016 1/4,계,30 - 39세,3.2
2016 1/4,계,40 - 49세,2.4
2016 1/4,계,50 - 59세,2.6
2016 1/4,계,60세이상,4.2
2016 1/4,남자,계,4.3
2016 1/4,남자,15 - 19세,13.1
2016 1/4,남자,20 - 29세,12.5
2016 1/4,남자,30 - 39세,3.5
2016 1/4,남자,40 - 49세,2.1
2016 1/4,남자,50 - 59세,2.9
2016 1/4,남자,60세이상,4.3
2016 1/4,여자,계,4.2
2016 1/4,여자,15 - 19세,12.1
2016 1/4,여자,20 - 29세,9.9
2016 1/4,여자,30 - 39세,2.6
2016 1/4,여자,40 - 49세,2.9
2016 1/4,여자,50 - 59세,2.1
2016 1/4,여자,60세이상,4.1
2016 2/4,계,계,3.7
2016 2/4,계,15 - 19세,10.7
2016 2/4,계,20 - 29세,10.3
2016 2/4,계,30 - 39세,3.2
2016 2/4,계,40 - 49세,2.1
2016 2/4,계,50 - 59세,2.3
2016 2/4,계,60세이상,2.3
2016 2/4,남자,계,3.8
2016 2/4,남자,15 - 19세,11.0
2016 2/4,남자,20 - 29세,11.3
2016 2/4,남자,30 - 39세,3.4
2016 2/4,남자,40 - 49세,1.9
2016 2/4,남자,50 - 59세,2.6
2016 2/4,남자,60세이상,2.9
2016 2/4,여자,계,3.6
2016 2/4,여자,15 - 19세,10.4
2016 2/4,여자,20 - 29세,9.4
2016 2/4,여자,30 - 39세,2.8
2016 2/4,여자,40 - 49세,2.5
2016 2/4,여자,50 - 59세,1.9
2016 2/4,여자,60세이상,1.4
2016 3/4,계,계,3.5
2016 3/4,계,15 - 19세,8.1
2016 3/4,계,20 - 29세,9.4
2016 3/4,계,30 - 39세,3.2
2016 3/4,계,40 - 49세,2.1
2016 3/4,계,50 - 59세,2.3
2016 3/4,계,60세이상,2.3
2016 3/4,남자,계,3.7
2016 3/4,남자,15 - 19세,10.8
2016 3/4,남자,20 - 29세,10.8
2016 3/4,남자,30 - 39세,3.3
2016 3/4,남자,40 - 49세,1.9
2016 3/4,남자,50 - 59세,2.6
2016 3/4,남자,60세이상,3.0
2016 3/4,여자,계,3.3
2016 3/4,여자,15 - 19세,5.7
2016 3/4,여자,20 - 29세,8.1
2016 3/4,여자,30 - 39세,3.0
2016 3/4,여자,40 - 49세,2.3
2016 3/4,여자,50 - 59세,2.0
2016 3/4,여자,60세이상,1.3
2016 4/4,계,계,3.2
2016 4/4,계,15 - 19세,8.5
2016 4/4,계,20 - 29세,8.3
2016 4/4,계,30 - 39세,3.1
2016 4/4,계,40 - 49세,1.9
2016 4/4,계,50 - 59세,2.0
2016 4/4,계,60세이상,2.1
2016 4/4,남자,계,3.2
2016 4/4,남자,15 - 19세,8.2
2016 4/4,남자,20 - 29세,9.1
2016 4/4,남자,30 - 39세,3.0
2016 4/4,남자,40 - 49세,1.7
2016 4/4,남자,50 - 59세,2.1
2016 4/4,남자,60세이상,2.6
2016 4/4,여자,계,3.2
2016 4/4,여자,15 - 19세,8.8
2016 4/4,여자,20 - 29세,7.6
2016 4/4,여자,30 - 39세,3.3
2016 4/4,여자,40 - 49세,2.1
2016 4/4,여자,50 - 59세,1.8
2016 4/4,여자,60세이상,1.4
2017 1/4,계,계,4.3
2017 1/4,계,15 - 19세,10.3
2017 1/4,계,20 - 29세,10.8
2017 1/4,계,30 - 39세,3.6
2017 1/4,계,40 - 49세,2.4
2017 1/4,계,50 - 59세,2.2
2017 1/4,계,60세이상,4.8
2017 1/4,남자,계,4.2
2017 1/4,남자,15 - 19세,9.2
2017 1/4,남자,20 - 29세,12.2
2017 1/4,남자,30 - 39세,3.3
2017 1/4,남자,40 - 49세,2.2
2017 1/4,남자,50 - 59세,2.4
2017 1/4,남자,60세이상,4.7
2017 1/4,여자,계,4.4
2017 1/4,여자,15 - 19세,11.3
2017 1/4,여자,20 - 29세,9.4
2017 1/4,여자,30 - 39세,4.0
2017 1/4,여자,40 - 49세,2.6
2017 1/4,여자,50 - 59세,1.9
2017 1/4,여자,60세이상,5.0
2017 2/4,계,계,3.8
2017 2/4,계,15 - 19세,8.4
2017 2/4,계,20 - 29세,10.4
2017 2/4,계,30 - 39세,3.4
2017 2/4,계,40 - 49세,2.4
2017 2/4,계,50 - 59세,2.4
2017 2/4,계,60세이상,2.3
2017 2/4,남자,계,4.0
2017 2/4,남자,15 - 19세,9.9
2017 2/4,남자,20 - 29세,12.1
2017 2/4,남자,30 - 39세,3.4
2017 2/4,남자,40 - 49세,2.2
2017 2/4,남자,50 - 59세,2.5
2017 2/4,남자,60세이상,2.9
2017 2/4,여자,계,3.7
2017 2/4,여자,15 - 19세,6.8
2017 2/4,여자,20 - 29세,8.8
2017 2/4,여자,30 - 39세,3.5
2017 2/4,여자,40 - 49세,2.6
2017 2/4,여자,50 - 59세,2.2
2017 2/4,여자,60세이상,1.6
2017 3/4,계,계,3.4
2017 3/4,계,15 - 19세,9.0
2017 3/4,계,20 - 29세,9.3
2017 3/4,계,30 - 39세,3.0
2017 3/4,계,40 - 49세,2.0
2017 3/4,계,50 - 59세,2.3
2017 3/4,계,60세이상,2.2
2017 3/4,남자,계,3.7
2017 3/4,남자,15 - 19세,11.3
2017 3/4,남자,20 - 29세,11.2
2017 3/4,남자,30 - 39세,3.1
2017 3/4,남자,40 - 49세,1.9
2017 3/4,남자,50 - 59세,2.3
2017 3/4,남자,60세이상,2.9
2017 3/4,여자,계,3.2
2017 3/4,여자,15 - 19세,7.0
2017 3/4,여자,20 - 29세,7.4
2017 3/4,여자,30 - 39세,2.8
2017 3/4,여자,40 - 49세,2.1
2017 3/4,여자,50 - 59세,2.3
2017 3/4,여자,60세이상,1.3
2017 4/4,계,계,3.2
2017 4/4,계,15 - 19세,6.4
2017 4/4,계,20 - 29세,9.1
2017 4/4,계,30 - 39세,3.0
2017 4/4,계,40 - 49세,1.8
2017 4/4,계,50 - 59세,1.8
2017 4/4,계,60세이상,2.2
2017 4/4,남자,계,3.4
2017 4/4,남자,15 - 19세,8.5
2017 4/4,남자,20 - 29세,10.6
2017 4/4,남자,30 - 39세,3.1
2017 4/4,남자,40 - 49세,1.7
2017 4/4,남자,50 - 59세,2.0
2017 4/4,남자,60세이상,3.0
2017 4/4,여자,계,2.9
2017 4/4,여자,15 - 19세,4.6
2017 4/4,여자,20 - 29세,7.8
2017 4/4,여자,30 - 39세,2.7
2017 4/4,여자,40 - 49세,1.9
2017 4/4,여자,50 - 59세,1.7
2017 4/4,여자,60세이상,1.2
2018 1/4,계,계,4.3
2018 1/4,계,15 - 19세,11.5
2018 1/4,계,20 - 29세,10.0
2018 1/4,계,30 - 39세,3.3
2018 1/4,계,40 - 49세,2.5
2018 1/4,계,50 - 59세,2.5
2018 1/4,계,60세이상,5.4
2018 1/4,남자,계,4.2
2018 1/4,남자,15 - 19세,13.4
2018 1/4,남자,20 - 29세,10.5
2018 1/4,남자,30 - 39세,3.3
2018 1/4,남자,40 - 49세,2.4
2018 1/4,남자,50 - 59세,2.9
2018 1/4,남자,60세이상,5.2
2018 1/4,여자,계,4.4
2018 1/4,여자,15 - 19세,10.0
2018 1/4,여자,20 - 29세,9.4
2018 1/4,여자,30 - 39세,3.3
2018 1/4,여자,40 - 49세,2.7
2018 1/4,여자,50 - 59세,2.0
2018 1/4,여자,60세이상,5.8
2018 2/4,계,계,3.9
2018 2/4,계,15 - 19세,8.7
2018 2/4,계,20 - 29세,10.2
2018 2/4,계,30 - 39세,3.6
2018 2/4,계,40 - 49세,2.5
2018 2/4,계,50 - 59세,2.6
2018 2/4,계,60세이상,2.5
2018 2/4,남자,계,4.1
2018 2/4,남자,15 - 19세,9.0
2018 2/4,남자,20 - 29세,11.4
2018 2/4,남자,30 - 39세,3.7
2018 2/4,남자,40 - 49세,2.4
2018 2/4,남자,50 - 59세,2.8
2018 2/4,남자,60세이상,3.1
2018 2/4,여자,계,3.8
2018 2/4,여자,15 - 19세,8.4
2018 2/4,여자,20 - 29세,9.0
